figure	screenshot	printed_page	pdf_page_1based	pdf_object	width_px	height_px	filename	sha256	source_pdf_sha256
4.2	6	39	43	156	3800	1270	report-fig-4.2-normal-data-comparison.png	ebb9c7456128d1823498d478a282cef4af985d0efe60f5f6ff6e2d9f5c48b0ea	fc0218be20c7d9b9c264f37dae9f131d3afbcf048bdef321022d26b65a649a8b
4.3	6	39	43	157	3570	1206	report-fig-4.3-attack-data-comparison.png	a76a8fd6f49b9bedfadfca401b48ff03dcf55c967981c26810a1dd53c189d53f	fc0218be20c7d9b9c264f37dae9f131d3afbcf048bdef321022d26b65a649a8b
4.15	5	56	60	232	1470	606	report-fig-4.15-reconstruction.png	4aeb7683d9dd8c78745b5646d71d15a51cfcf0e00b9709c7e1d52400db4ca662	fc0218be20c7d9b9c264f37dae9f131d3afbcf048bdef321022d26b65a649a8b
4.16	4	57	61	237	3000	2000	report-fig-4.16-full-trace-detection.png	bbd390074df2930bc6e22f6420c81f661873c2f2ecc285c8b36eb20e71398d8d	fc0218be20c7d9b9c264f37dae9f131d3afbcf048bdef321022d26b65a649a8b
5.1	1	60	64	248	1474	970	report-fig-5.1-detection-overlay.png	88c65e113e7c2ea3e81f3a4246f483ca3b9b0976ed65b49aa0efd1c7528274e7	fc0218be20c7d9b9c264f37dae9f131d3afbcf048bdef321022d26b65a649a8b
5.2	2	61	65	254	3000	2000	report-fig-5.2-encoder-generator-loss.png	701a3d1d0cc264ac88030b3e1dd6d52eff0d795da2adb557362a6634ee8ee91b	fc0218be20c7d9b9c264f37dae9f131d3afbcf048bdef321022d26b65a649a8b
5.3	2	61	65	255	3000	2000	report-fig-5.3-data-critic-loss.png	e9f476c7bc5ead64d48d58107964cd2b5c2a4b101da5a05097772705ebffd48a	fc0218be20c7d9b9c264f37dae9f131d3afbcf048bdef321022d26b65a649a8b
5.4	3	62	66	261	3000	2000	report-fig-5.4-latent-critic-loss.png	2d87de2eb096b7b18681e261a759116496a3b64ead1c5bc2026969571cb39e1b	fc0218be20c7d9b9c264f37dae9f131d3afbcf048bdef321022d26b65a649a8b
