asset	report	source_pdf	source_pdf_sha256	source_figure	printed_page	pdf_page_1_based	object_id	native_width_px	native_height_px	colour_mode	extraction	extracted_file_sha256	decoded_pixels_sha256
figures/sparta/report-originals/d76-fig02-benchmark-architecture.jpg	D7.6	publications/SPARTA/SPARTA-D7.6-evaluation-and-validation.pdf	b1cbb7d5e1ee55d804ca6836fcbc2a462da723c539cbf6860c0fd54e59e98da7	2	22	29	261	561	332	RGB	original-DCT-stream	55a9b1c980e65276483ccdd07b455e4df3d26ed64853ea5e82d3570bbe6b577c	d73c9ac4c7976125fb68e46844d749fffd627edb3cc9eb4a0dd33a7ae4ce86af
figures/sparta/report-originals/d72-fig13-input-autoencoder.png	D7.2	publications/SPARTA/SPARTA-D7.2-preliminary-AI-security-mechanisms.pdf	5bc049b54f850d8546440a0187322fceaf91effa8dd934c59933c115d1736d04	13	14	21	413	380	210	RGB	lossless-PNG-from-original-RGB-samples	dadf20a26af3f937d68a847a3ef3d7971840a594f42bdd95658756d759f7a712	f2f379145bc7d95bd793038e46149b4528e87cd2eb17035631a28cedb7e9f407
figures/sparta/report-originals/d72-fig11-middle-autoencoder.png	D7.2	publications/SPARTA/SPARTA-D7.2-preliminary-AI-security-mechanisms.pdf	5bc049b54f850d8546440a0187322fceaf91effa8dd934c59933c115d1736d04	11	14	21	411	407	207	RGB	lossless-PNG-from-original-RGB-samples	707177f8ffa1cc29199153599aeb319a259d6257bee8506d9ca95d6443a7fe86	4737d515ddb24f4792e48d67de6519b045d2a35e3ddc0355c035a565fca836e8
figures/sparta/report-originals/d72-fig15-prediction-similarity.png	D7.2	publications/SPARTA/SPARTA-D7.2-preliminary-AI-security-mechanisms.pdf	5bc049b54f850d8546440a0187322fceaf91effa8dd934c59933c115d1736d04	15	16	23	420	599	205	RGB	lossless-PNG-from-original-RGB-samples	cedfbb4855087a3e191aede5aafec823f66ca188442280745380a8bb1344235a	4129ba274b47418e93fcfb93cf00f2116deb25ebb043a9e33f8d4ba07bf9a7d4
figures/sparta/report-originals/d72-fig16-activation-detector.png	D7.2	publications/SPARTA/SPARTA-D7.2-preliminary-AI-security-mechanisms.pdf	5bc049b54f850d8546440a0187322fceaf91effa8dd934c59933c115d1736d04	16	16	23	421	401	228	RGB	lossless-PNG-from-original-RGB-samples	0a3cc24795b31b649b0196e6f4ce7687c9e37b20962d1247f7df9cac47d19524	7aa5b01978c4282075ba373431506021fa27ab52c0ed72e7006968d5e2c5e290
figures/sparta/report-originals/d75-fig15-iter-fgsm-left.jpg	D7.5	publications/SPARTA/SPARTA-D7.5-defensive_solutions_AI_contest_concept.pdf	99e9563225976337ae12e4e3d22c510db8a63b2d7ba2e842b883d2783b28111b	15-left	23	34	724	717	478	RGB	original-DCT-stream	387609f997135d39453a792d91bf61306c2dd5190f6a9dd797a458d0a3943aff	d7a31150c0a53a3b62e6e4ce4c1ac7d1c53f4d179cf61aab50ea4f3821f0c3da
figures/sparta/report-originals/d75-fig15-iter-fgsm-right.png	D7.5	publications/SPARTA/SPARTA-D7.5-defensive_solutions_AI_contest_concept.pdf	99e9563225976337ae12e4e3d22c510db8a63b2d7ba2e842b883d2783b28111b	15-right	23	34	725	715	477	RGB	lossless-PNG-from-original-RGB-samples	b8de1ef5eda9271c3ae914097ef2cfc5fec669bfaccddaa81b391411f5e8bb56	7ff9996aab7529797eb4902ca5d6ad740f326e792b43b1fad41b14db3f0bfdf0
